student_id,course_type,institute_tier,region,target_sector,cgpa,academic_consistency_score,num_internships,internship_months,internship_employer_type,internship_performance,num_certifications,certifications,institute_placement_rate_3m,institute_placement_rate_6m,institute_placement_rate_12m,institute_avg_salary_lpa,placement_cell_score,recruiter_diversity_score,job_demand_score,region_job_density,sector_growth_rate,job_applications_per_week,interviews_attended,resume_updated_recently,linkedin_active,internship_quality_score,skill_relevance_score,institute_strength_index,placed_3m,placed_6m,placed_12m,actual_salary_lpa
STU0034,Engineering,Tier 3,Bangalore,Manufacturing,6.73,24.9,2,6,SME,4.8,4,SQL|Cybersecurity|Java|Python,0.2,0.30000000000000004,0.43000000000000005,3.2,0.68,0.31,0.38,0.26,0.18,7,9,1,0,0.64,0.7,0.46,0,0,0,5.7
STU0035,Commerce,Tier 3,Chennai,Consulting,9.15,54.9,3,12,Startup,3.1,0,None,0.31,0.42,0.48,3.3,0.62,0.76,0.3,0.57,0.02,17,3,0,1,0.73,0.3,0.6,1,1,1,5.0
STU0036,Data Science,Tier 2,Delhi,Consulting,8.05,50.3,2,6,SME,4.8,4,Power BI|SQL|Python|PMP,0.48,0.5599999999999999,0.69,8.3,0.43,0.57,0.33,0.97,0.23,4,4,1,1,0.64,1.0,0.51,0,0,0,14.3
STU0037,Law,Tier 1,Pune,Healthcare,7.33,77.0,1,5,PSU,4.8,4,SQL|Java|Power BI|Machine Learning,0.75,0.81,0.9,15.6,0.78,0.89,0.65,0.26,-0.01,12,11,1,0,0.63,0.7,0.82,1,1,1,18.2
STU0038,Arts,Tier 3,Pune,IT,6.65,89.3,2,8,NGO,4.7,3,Machine Learning|React|SQL,0.29,0.43,0.56,2.5,0.9,0.88,0.32,0.86,-0.05,10,4,1,0,0.67,0.52,0.75,0,1,1,3.7
STU0039,Engineering,Tier 1,Delhi,Consulting,7.22,59.9,0,0,None,0.0,2,Machine Learning|Cybersecurity,0.88,1.0,1.0,28.9,0.91,0.63,0.51,0.77,-0.07,9,5,1,0,0.16,0.35,0.85,0,0,1,18.2
STU0040,MBA,Tier 3,Pune,EdTech,4.68,85.5,2,10,PSU,3.6,2,Python|SQL,0.04,0.23,0.28,8.4,0.93,0.87,0.98,0.81,0.08,26,0,0,0,0.61,0.35,0.7,1,1,1,6.8
STU0041,Engineering,Tier 1,Chennai,Healthcare,7.3,86.8,0,0,None,0.0,0,None,0.8,0.89,1.0,29.4,0.76,0.78,0.3,0.68,0.14,19,3,0,1,0.16,0.3,0.81,0,1,1,18.1
STU0042,Commerce,Tier 2,Kolkata,IT,4.0,84.9,2,6,MNC,4.4,3,SQL|AWS|Digital Marketing,0.35,0.42,0.52,7.7,0.82,0.69,0.31,0.46,0.11,0,8,1,0,0.85,0.52,0.66,1,1,1,6.8
STU0043,Law,Tier 3,Delhi,Pharma,6.63,54.3,2,6,Startup,4.8,1,Python,0.33,0.52,0.63,6.1,0.69,0.54,0.76,0.64,0.14,21,9,0,0,0.76,0.18,0.59,1,1,1,4.8
STU0044,Arts,Tier 1,Chennai,Manufacturing,8.59,86.8,2,10,Startup,4.6,2,React|SQL,0.9,1.0,1.0,7.9,0.76,0.87,0.35,0.22,0.0,11,0,0,0,0.81,0.35,0.87,0,1,1,7.7
STU0045,Law,Tier 3,Delhi,Manufacturing,8.12,56.6,1,2,Startup,4.2,2,AWS|CFA,0.25,0.43,0.5,6.1,0.52,0.64,0.74,0.5,0.11,4,4,1,1,0.65,0.65,0.53,1,1,1,4.9
STU0046,Commerce,Tier 2,Kolkata,Manufacturing,9.38,79.2,2,10,PSU,3.7,2,AWS|SQL,0.27,0.4,0.48000000000000004,9.0,0.66,0.47,0.73,0.77,-0.03,19,11,0,1,0.62,0.65,0.53,0,0,1,8.6
STU0047,Arts,Tier 2,Hyderabad,Manufacturing,6.39,77.3,0,0,None,0.0,1,PMP,0.41,0.48,0.63,6.9,0.4,0.97,0.75,0.89,0.08,14,10,0,0,0.16,0.18,0.59,1,1,1,4.0
STU0048,Arts,Tier 1,Hyderabad,IT,5.39,78.5,0,0,None,0.0,2,React|Java,0.44,0.5800000000000001,0.6300000000000001,9.6,0.91,0.87,0.45,0.73,0.06,4,8,0,0,0.16,0.35,0.8,0,1,1,5.3
STU0049,Data Science,Tier 1,Pune,FMCG,6.67,75.0,1,6,NGO,3.9,3,CFA|React|Digital Marketing,0.58,0.6699999999999999,0.7799999999999999,20.9,0.89,0.84,0.69,0.5,0.12,0,0,0,1,0.57,0.82,0.81,1,1,1,26.1
STU0050,Engineering,Tier 2,Delhi,Consulting,5.58,87.9,1,6,MNC,4.5,2,SQL|Cybersecurity,0.57,0.6299999999999999,0.7799999999999999,11.9,0.63,0.44,0.64,0.36,-0.03,3,4,0,0,0.86,0.35,0.57,1,1,1,10.9
STU0051,Commerce,Tier 2,Kolkata,BFSI,5.38,66.4,2,4,SME,4.6,0,None,0.56,0.67,0.73,8.9,0.62,0.67,0.38,0.2,0.16,20,5,1,0,0.59,0.0,0.65,0,0,0,5.8
STU0052,Engineering,Tier 3,Kolkata,IT,5.69,71.8,2,6,NGO,4.2,1,Digital Marketing,0.28,0.36000000000000004,0.42000000000000004,3.1,0.71,0.65,0.68,0.39,0.06,28,8,1,0,0.6,0.18,0.59,0,0,1,4.5
STU0053,Nursing,Tier 1,Chennai,FMCG,7.2,73.2,1,6,MNC,3.5,2,Tableau|Machine Learning,0.92,1.0,1.0,7.3,0.9,0.63,0.75,0.42,0.14,2,5,0,0,0.78,0.35,0.85,1,1,1,5.4
STU0054,Data Science,Tier 2,Pune,Healthcare,8.57,59.5,1,6,Startup,3.9,2,CFA|React,0.45,0.54,0.63,8.7,1.0,0.95,0.68,0.87,0.11,5,5,0,1,0.69,0.65,0.85,1,1,1,13.3
STU0055,Law,Tier 3,Pune,Pharma,6.57,84.0,3,3,NGO,4.0,2,Python|Machine Learning,0.08,0.21000000000000002,0.30000000000000004,5.0,0.52,0.59,0.74,0.74,0.11,13,5,0,1,0.53,0.65,0.45,1,1,1,5.2
STU0056,Nursing,Tier 3,Chennai,EdTech,5.74,57.2,2,12,SME,3.3,1,PMP,0.08,0.13,0.19,4.9,0.64,0.97,0.6,0.45,0.1,17,12,1,0,0.62,0.18,0.59,1,1,1,2.6
STU0057,Arts,Tier 3,Delhi,BFSI,8.58,79.9,0,0,None,0.0,2,Machine Learning|Digital Marketing,0.31,0.41000000000000003,0.47000000000000003,4.1,0.25,0.56,1.0,0.85,0.15,19,12,0,1,0.16,0.65,0.39,0,0,1,2.6
STU0058,Arts,Tier 1,Pune,Manufacturing,5.42,65.4,0,0,None,0.0,1,Java,0.7,0.75,0.8200000000000001,9.9,0.94,0.98,0.64,0.29,0.12,20,3,1,1,0.16,0.48,0.9,1,1,1,5.6
STU0059,Engineering,Tier 1,Ahmedabad,BFSI,7.03,74.0,2,10,SME,3.6,3,CFA|React|Cybersecurity,0.56,0.67,0.77,16.1,0.97,0.78,0.92,0.28,0.3,22,4,1,0,0.61,0.52,0.82,1,1,1,21.5
STU0060,Nursing,Tier 2,Hyderabad,Healthcare,7.55,77.9,2,4,MNC,3.0,0,None,0.74,0.82,0.8799999999999999,4.8,0.86,0.75,0.67,0.23,0.29,20,3,1,0,0.71,0.0,0.81,0,0,1,5.2
STU0061,MBA,Tier 1,Ahmedabad,IT,7.92,86.0,3,18,NGO,4.9,2,Java|SQL,0.71,0.8099999999999999,0.95,21.5,0.86,0.85,0.45,0.98,0.2,13,6,0,1,0.75,0.65,0.84,1,1,1,29.4
STU0062,Arts,Tier 2,Chennai,EdTech,7.93,55.7,2,2,NGO,4.0,1,Tableau,0.64,0.8,0.8700000000000001,4.8,0.41,0.47,0.81,0.99,-0.06,9,1,0,0,0.51,0.18,0.55,0,0,1,4.0
STU0063,MBA,Tier 3,Ahmedabad,EdTech,8.51,50.8,1,3,PSU,4.7,1,Java,0.12,0.29000000000000004,0.36000000000000004,4.8,0.73,0.1,0.42,0.22,-0.03,27,8,0,0,0.59,0.18,0.41,0,0,0,6.0
STU0064,Commerce,Tier 1,Pune,EdTech,7.37,86.7,1,6,MNC,3.3,2,Tableau|Machine Learning,0.84,0.9099999999999999,1.0,8.1,0.81,0.63,0.86,0.81,0.19,21,12,1,0,0.76,0.35,0.79,0,1,1,10.1
STU0065,Data Science,Tier 2,Bangalore,Healthcare,6.76,70.5,1,6,Startup,3.5,1,Java,0.57,0.75,0.88,9.0,0.88,0.62,0.64,0.31,-0.07,6,6,0,1,0.66,0.48,0.76,0,0,1,12.4
STU0066,Commerce,Tier 1,Bangalore,Pharma,5.8,69.8,3,6,SME,3.5,2,Power BI|Digital Marketing,0.87,0.9299999999999999,0.99,14.2,0.74,0.81,0.59,0.48,0.26,17,7,0,0,0.54,0.35,0.82,0,1,1,9.7
STU0067,Engineering,Tier 1,Kolkata,Pharma,6.85,50.7,3,12,NGO,3.7,0,None,0.78,0.91,1.0,14.1,0.96,0.89,0.35,0.77,0.12,5,13,1,0,0.66,0.0,0.92,1,1,1,17.8
STU0068,Nursing,Tier 1,Chennai,Consulting,4.27,59.7,1,3,SME,4.6,0,None,0.75,0.88,0.95,7.5,0.96,0.95,0.47,0.56,0.29,25,0,0,1,0.58,0.3,0.93,0,1,1,5.4
STU0069,Nursing,Tier 1,Pune,Pharma,8.22,86.3,1,5,SME,3.6,2,Python|CFA,0.2,0.34,0.43000000000000005,7.6,0.75,0.8,0.72,0.23,0.05,27,10,0,0,0.53,0.35,0.64,0,0,1,5.6
STU0070,Commerce,Tier 1,Ahmedabad,Healthcare,4.84,78.7,3,9,NGO,3.3,0,None,0.8,0.98,1.0,10.9,0.91,0.73,0.63,0.86,0.08,20,7,1,0,0.57,0.0,0.88,0,0,1,9.1
STU0071,Law,Tier 3,Mumbai,BFSI,6.73,43.6,2,12,SME,4.5,2,AWS|PMP,0.26,0.31,0.43,3.7,0.72,0.99,0.35,0.26,0.04,25,8,1,1,0.72,0.65,0.68,1,1,1,4.9
STU0072,Data Science,Tier 2,Chennai,Manufacturing,5.15,58.9,0,0,None,0.0,0,None,0.8,0.8700000000000001,0.9600000000000001,15.8,0.69,0.31,0.6,0.22,0.29,21,8,0,0,0.16,0.0,0.63,0,0,0,9.7
STU0073,Data Science,Tier 2,Pune,Pharma,6.2,81.0,1,3,PSU,3.5,2,SQL|PMP,0.51,0.71,0.82,12.8,0.9,0.5,0.6,0.41,0.22,20,14,1,1,0.49,0.65,0.72,0,1,1,12.1
STU0074,Data Science,Tier 1,Bangalore,IT,6.44,75.0,1,1,MNC,3.7,0,None,0.77,0.92,1.0,16.8,0.77,0.91,0.98,0.41,0.01,26,6,1,1,0.71,0.3,0.86,0,1,1,24.2
STU0075,Arts,Tier 1,Delhi,Manufacturing,6.83,93.7,2,12,Startup,4.2,1,PMP,0.59,0.6699999999999999,0.72,4.6,0.8,0.92,0.7,0.61,0.02,29,8,1,1,0.82,0.48,0.8,1,1,1,7.4
STU0076,Nursing,Tier 3,Pune,FMCG,6.33,48.2,1,4,Startup,4.8,2,Cybersecurity|Tableau,0.27,0.46,0.5800000000000001,4.6,0.2,0.75,0.88,0.23,0.25,17,1,1,1,0.73,0.65,0.44,0,0,1,3.7
STU0077,Data Science,Tier 1,Mumbai,Consulting,6.7,54.1,2,10,NGO,3.0,2,React|CFA,0.46,0.53,0.67,15.4,0.86,0.66,0.31,0.54,0.02,0,6,0,1,0.57,0.65,0.7,0,1,1,24.6
STU0078,Engineering,Tier 3,Hyderabad,BFSI,5.02,57.3,1,2,PSU,4.2,0,None,0.07,0.13,0.27,3.1,0.5,0.12,0.58,0.62,0.1,27,4,1,1,0.53,0.3,0.28,0,1,1,5.0
STU0079,Data Science,Tier 3,Kolkata,FMCG,4.26,64.5,1,4,MNC,3.3,4,Digital Marketing|React|Power BI|Python,0.28,0.34,0.41000000000000003,9.6,0.53,0.46,0.52,0.32,0.1,9,4,0,0,0.73,0.7,0.45,0,1,1,6.7
STU0080,Engineering,Tier 2,Chennai,EdTech,4.65,69.6,0,0,None,0.0,0,None,0.41,0.49,0.59,12.1,0.54,0.88,0.68,0.33,0.13,28,2,1,0,0.16,0.0,0.63,1,1,1,7.4
STU0081,MBA,Tier 3,Pune,EdTech,8.5,56.6,2,10,SME,4.1,0,None,0.2,0.38,0.44,8.7,0.3,0.81,0.49,0.9,0.28,16,2,0,0,0.65,0.0,0.48,0,0,1,6.8
STU0082,Data Science,Tier 1,Bangalore,Consulting,8.71,89.9,2,12,SME,3.9,1,Java,0.8,1.0,1.0,14.1,0.89,0.72,0.47,0.45,0.0,4,12,0,0,0.67,0.18,0.87,0,1,1,24.9
STU0083,Data Science,Tier 1,Ahmedabad,FMCG,5.19,56.9,2,6,Startup,5.0,2,PMP|Java,0.52,0.5900000000000001,0.7200000000000001,30.1,0.9,0.91,0.89,0.69,-0.06,8,1,0,0,0.78,0.35,0.81,1,1,1,22.8
STU0084,Data Science,Tier 2,Pune,IT,6.76,89.0,1,2,NGO,3.5,1,Java,0.4,0.5800000000000001,0.67,10.2,0.49,0.49,0.32,0.67,0.24,16,8,1,1,0.47,0.48,0.52,1,1,1,12.6
STU0085,Commerce,Tier 2,Ahmedabad,Manufacturing,5.83,46.8,1,6,SME,4.6,2,React|PMP,0.78,0.87,0.97,5.7,0.48,0.74,0.34,0.8,0.03,16,9,0,1,0.63,0.65,0.68,0,0,0,7.1
STU0086,Engineering,Tier 2,Hyderabad,Pharma,7.24,68.7,2,8,Startup,4.6,3,Machine Learning|React|Cybersecurity,0.56,0.6200000000000001,0.7400000000000001,10.4,0.63,0.74,0.79,0.2,-0.03,20,10,0,0,0.78,0.52,0.66,0,0,0,11.0
STU0087,Law,Tier 3,Chennai,Pharma,7.05,59.7,1,2,NGO,4.3,2,Power BI|Tableau,0.27,0.38,0.5,4.5,0.9,0.76,0.75,0.84,0.2,12,1,0,0,0.54,0.35,0.7,0,0,1,4.8
STU0088,Data Science,Tier 2,Hyderabad,BFSI,7.9,62.7,0,0,None,0.0,2,Tableau|Java,0.56,0.7200000000000001,0.8,17.0,0.56,0.81,0.91,0.23,0.06,0,3,0,1,0.16,0.65,0.68,0,1,1,11.3
STU0089,Commerce,Tier 3,Delhi,Manufacturing,7.84,72.6,1,2,Startup,3.4,2,Tableau|PMP,0.05,0.22999999999999998,0.35,4.2,0.86,0.65,0.5,0.37,-0.04,7,2,0,0,0.59,0.35,0.61,0,0,0,3.6
STU0090,Engineering,Tier 1,Pune,Manufacturing,6.92,51.6,2,2,PSU,3.5,0,None,0.68,0.75,0.88,23.4,0.82,0.87,0.48,0.48,0.27,23,5,1,0,0.47,0.0,0.81,0,0,0,17.7
STU0091,Engineering,Tier 3,Delhi,Consulting,8.86,72.1,1,2,MNC,3.4,1,Python,0.22,0.37,0.43,8.0,0.62,0.45,0.76,0.29,0.15,27,7,0,1,0.71,0.48,0.49,0,0,1,5.7
STU0092,Commerce,Tier 2,Bangalore,IT,5.25,55.3,0,0,None,0.0,1,Cybersecurity,0.4,0.47000000000000003,0.5800000000000001,8.6,0.7,0.31,0.31,0.49,0.27,9,14,0,0,0.16,0.18,0.51,0,0,0,5.7
STU0093,Nursing,Tier 2,Chennai,Healthcare,8.12,72.2,3,9,MNC,4.0,1,Machine Learning,0.51,0.5700000000000001,0.66,3.8,0.77,0.99,0.57,0.66,0.07,0,1,0,1,0.87,0.48,0.78,0,0,0,4.4
STU0094,Arts,Tier 1,Kolkata,EdTech,7.18,52.0,1,3,MNC,3.6,1,Cybersecurity,0.69,0.8099999999999999,0.8799999999999999,7.5,0.76,0.73,0.9,0.37,-0.07,3,9,1,1,0.74,0.48,0.77,0,1,1,7.8
STU0095,MBA,Tier 3,Pune,BFSI,5.24,83.5,0,0,None,0.0,0,None,0.39,0.47000000000000003,0.55,5.8,0.38,0.1,0.81,0.97,-0.01,3,14,1,1,0.16,0.3,0.32,0,0,0,5.2
STU0096,Law,Tier 2,Hyderabad,Pharma,8.21,68.5,2,6,SME,3.5,1,PMP,0.38,0.5700000000000001,0.68,5.9,0.74,0.85,0.8,0.34,0.29,23,1,0,0,0.54,0.18,0.72,0,0,1,8.2
STU0097,Data Science,Tier 3,Mumbai,BFSI,7.98,87.5,2,2,Startup,4.5,1,React,0.31,0.48,0.6,6.3,0.22,0.86,0.31,0.76,0.29,28,6,1,0,0.67,0.18,0.49,1,1,1,7.3
STU0098,Commerce,Tier 1,Delhi,Manufacturing,5.46,65.1,0,0,None,0.0,3,AWS|Digital Marketing|SQL,0.93,1.0,1.0,8.3,0.89,0.83,0.88,0.92,-0.1,15,7,1,1,0.16,0.82,0.91,1,1,1,8.5
STU0099,Nursing,Tier 2,Ahmedabad,Consulting,5.96,62.0,1,1,MNC,4.4,1,Java,0.4,0.55,0.66,3.6,0.65,0.83,0.37,0.42,0.01,9,8,0,0,0.77,0.18,0.67,0,1,1,3.7
STU0100,Commerce,Tier 2,Bangalore,Manufacturing,7.49,85.3,1,2,PSU,4.0,2,React|Cybersecurity,0.17,0.31000000000000005,0.38000000000000006,9.6,0.44,0.6,0.79,0.57,-0.06,1,13,1,0,0.51,0.35,0.45,0,0,1,5.9
STU0101,Engineering,Tier 3,Hyderabad,Healthcare,7.69,63.8,3,15,PSU,3.4,1,AWS,0.19,0.33,0.41000000000000003,5.3,0.97,0.46,0.89,0.35,0.17,15,5,1,1,0.63,0.48,0.62,1,1,1,5.6
STU0102,MBA,Tier 2,Pune,EdTech,6.59,48.7,1,1,MNC,4.1,2,PMP|Machine Learning,0.34,0.4,0.54,8.4,0.61,0.31,0.35,0.93,0.04,17,2,0,0,0.74,0.35,0.46,1,1,1,14.7
STU0103,Law,Tier 3,Ahmedabad,EdTech,7.41,52.4,1,3,MNC,4.0,0,None,0.16,0.25,0.33999999999999997,6.6,0.73,0.81,0.62,0.7,-0.0,27,5,1,0,0.77,0.0,0.61,0,1,1,5.1
STU0104,Commerce,Tier 2,Pune,IT,7.93,74.6,1,4,MNC,3.4,1,Java,0.19,0.26,0.36,8.7,0.97,0.82,0.8,0.86,0.08,3,4,1,0,0.74,0.18,0.71,1,1,1,6.9
STU0105,Law,Tier 1,Delhi,EdTech,6.73,66.5,2,12,NGO,3.7,1,React,0.63,0.71,0.85,20.2,0.95,0.94,0.82,0.55,0.14,28,14,0,0,0.66,0.18,0.88,0,1,1,16.0
STU0106,MBA,Tier 3,Kolkata,EdTech,6.56,83.0,1,1,MNC,3.4,1,PMP,0.14,0.30000000000000004,0.41000000000000003,9.9,0.53,0.78,0.91,0.74,0.06,9,0,0,0,0.69,0.18,0.54,1,1,1,6.9
STU0107,Data Science,Tier 2,Bangalore,Healthcare,5.17,81.2,2,6,PSU,3.4,1,CFA,0.57,0.71,0.83,9.8,0.41,0.81,0.67,0.87,0.23,15,8,0,0,0.53,0.18,0.62,0,1,1,10.7
STU0108,Commerce,Tier 2,Mumbai,EdTech,8.76,68.0,2,8,MNC,3.4,2,Power BI|Machine Learning,0.46,0.5900000000000001,0.7400000000000001,5.4,0.97,0.33,0.61,0.26,0.19,7,10,0,1,0.81,0.65,0.66,0,1,1,7.6
